serial_number,url
294,https://www.geeksforgeeks.org/stack-empty-and-stack-size-in-c-stl/?ref=lbp
303,https://www.geeksforgeeks.org/stack-push-and-pop-in-c-stl/?ref=lbp
300,https://www.geeksforgeeks.org/queue-swap-cpp-stl/?ref=lbp
296,https://www.geeksforgeeks.org/queueemplace-c-stl/?ref=lbp
298,https://www.geeksforgeeks.org/queue-of-pairs-in-c-stl-with-examples/?ref=lbp
305,https://www.geeksforgeeks.org/how-to-iterate-a-stl-queue-in-cpp/?ref=lbp
311,https://www.geeksforgeeks.org/stack-in-cpp-stl/?ref=shm
313,https://www.geeksforgeeks.org/functors-in-cpp/?ref=shm
297,https://www.geeksforgeeks.org/implement-thread-safe-queue-in-c/?ref=lbp
301,https://www.geeksforgeeks.org/queueempty-queuesize-c-stl/?ref=lbp
308,https://www.geeksforgeeks.org/queue-cpp-stl/?ref=shm
302,https://www.geeksforgeeks.org/queuefront-queueback-c-stl/?ref=lbp
312,https://www.geeksforgeeks.org/priority-queue-in-cpp-stl/?ref=shm
309,https://www.geeksforgeeks.org/cpp-stl-interview-questions/?ref=shm
310,https://www.geeksforgeeks.org/cpp-stl-cheat-sheet/?ref=shm
337,https://www.geeksforgeeks.org/random-access-iterators-in-cpp/
314,https://www.geeksforgeeks.org/functors-in-cpp/?ref=lbp
316,https://www.geeksforgeeks.org/cpp-inheritance-access/?ref=lbp
315,https://www.geeksforgeeks.org/cpp-hierarchical-inheritance/?ref=lbp
326,https://www.geeksforgeeks.org/python-cheat-sheet/
330,https://www.geeksforgeeks.org/max_element-in-cpp/
332,https://www.geeksforgeeks.org/std-find-in-cpp/
324,https://www.geeksforgeeks.org/angular-cheat-sheet-a-basic-guide-to-angular/
323,https://www.geeksforgeeks.org/docker-cheat-sheet/
325,https://www.geeksforgeeks.org/java-cheat-sheet/
360,https://www.geeksforgeeks.org/spring-boot/
364,https://www.geeksforgeeks.org/spring-mvc/?ref=dhm
361,https://www.geeksforgeeks.org/category/programming-language/java/
366,https://www.geeksforgeeks.org/spring-boot-interview-questions/?ref=dhm
379,https://www.geeksforgeeks.org/java-jdbc-programs/?ref=dhm
367,https://www.geeksforgeeks.org/spring-boot/?ref=dhm
382,https://www.geeksforgeeks.org/java-8-features/
385,https://www.geeksforgeeks.org/java-array-programs/?ref=dhm
451,https://www.geeksforgeeks.org/java-transpose-matrix/
450,https://www.geeksforgeeks.org/java-program-for-program-to-find-largest-element-in-an-array/
466,https://www.geeksforgeeks.org/sorting-2d-array-according-values-given-column-java/?ref=lbp
458,https://www.geeksforgeeks.org/java-program-for-bubble-sort/?ref=lbp
557,https://www.geeksforgeeks.org/convert-a-list-of-string-to-a-comma-separated-string-in-java/?ref=lbp
559,https://www.geeksforgeeks.org/split-a-list-into-two-halves-in-java/?ref=lbp
560,https://www.geeksforgeeks.org/how-to-find-a-sublist-in-a-list-in-java/?ref=lbp
558,https://www.geeksforgeeks.org/how-to-remove-duplicates-from-arraylist-in-java/?ref=lbp
554,https://www.geeksforgeeks.org/get-first-and-last-elements-from-arraylist-in-java/?ref=lbp
567,https://www.geeksforgeeks.org/compare-two-strings-lexicographically-in-java/?ref=lbp
550,https://www.geeksforgeeks.org/java-program-to-display-dates-of-a-calendar-year-in-different-format/?ref=lbp
553,https://www.geeksforgeeks.org/java-program-to-format-time-in-am-pm-format/?ref=lbp
563,https://www.geeksforgeeks.org/min-and-max-in-a-list-in-java/?ref=lbp
552,https://www.geeksforgeeks.org/java-program-to-display-current-date-and-time/?ref=lbp
564,https://www.geeksforgeeks.org/initializing-a-list-in-java/?ref=lbp
565,https://www.geeksforgeeks.org/java-program-to-print-even-length-words-in-a-string/?ref=lbp
556,https://www.geeksforgeeks.org/remove-repeated-elements-from-arraylist-in-java/?ref=lbp
566,https://www.geeksforgeeks.org/insert-a-string-into-another-string-in-java/?ref=lbp
555,https://www.geeksforgeeks.org/how-to-add-element-at-first-and-last-position-of-linkedlist-in-java/?ref=lbp
562,https://www.geeksforgeeks.org/how-to-remove-a-sublist-from-a-list-in-java/?ref=lbp
551,https://www.geeksforgeeks.org/find-common-elements-in-two-arraylists-in-java/?ref=lbp
590,https://www.geeksforgeeks.org/java-program-for-finding-the-length-of-longest-palindrome-list-in-a-linked-list-using-o1-extra-space/
